,,,wall_time_ms,wall_time_ms,wall_time_ms,wall_time_ms,peak_rss_mb,peak_rss_mb,energy_estimate_joules,run
,,,mean,std,min,max,mean,std,mean,count
function,n,t,,,,,,,,
AggCompute,5,3,9.8133,5.4075,3.011,25.702,14.443,0.0583,1.5604,30
AggCompute,5,4,12.159,7.2306,3.791,41.305,14.7305,0.0,3.3719,60
AggCompute,10,5,10.3096,5.4172,2.606,23.051,14.7305,0.0,5.6992,30
AggCompute,10,7,14.783,8.9275,3.23,39.933,14.7305,0.0,7.3675,30
AggCompute,10,8,14.0479,9.1603,2.599,44.217,14.7305,0.0,9.3804,30
AggCompute,20,10,33.2836,21.9244,5.879,80.959,14.7305,0.0,12.0875,30
AggCompute,20,14,30.4572,17.6625,7.403,67.401,14.7305,0.0,17.3329,30
AggCompute,20,15,33.9202,19.4541,8.27,92.189,14.7305,0.0,22.0192,30
AggCompute,50,25,40.2814,17.9502,15.814,93.335,14.9805,0.0,30.9012,30
AggCompute,50,34,47.4848,26.6364,27.748,164.122,15.1836,0.0,41.7233,30
AggCompute,50,38,67.3201,30.5551,29.898,170.403,15.3906,0.0,53.7221,30
DKG1,5,3,0.9876,1.2124,0.187,5.739,13.4219,0.0,0.7213,30
DKG1,5,4,0.9911,1.6152,0.257,9.393,14.6055,0.1261,2.3371,60
DKG1,10,5,1.5282,2.9108,0.242,14.518,14.7305,0.0,4.2763,30
DKG1,10,7,1.7523,2.4893,0.305,9.937,14.7305,0.0,5.9533,30
DKG1,10,8,1.0119,1.0519,0.341,4.207,14.7305,0.0,7.6742,30
DKG1,20,10,2.3079,2.4025,0.384,10.387,14.7305,0.0,9.6742,30
DKG1,20,14,4.2852,5.9044,0.811,24.669,14.7305,0.0,12.9454,30
DKG1,20,15,3.7905,4.342,0.822,18.147,14.7305,0.0,18.0271,30
DKG1,50,25,4.2735,3.6048,1.341,16.102,14.7305,0.0,22.7817,30
DKG1,50,34,5.6757,4.283,1.767,23.074,14.9805,0.0,31.85,30
DKG1,50,38,8.9163,7.7943,2.642,30.707,15.241,0.0382,42.7721,30
DKG2,5,3,5.1602,3.539,1.562,16.618,14.2805,0.0623,0.9058,30
DKG2,5,4,5.8994,5.5668,1.726,25.69,14.6617,0.1114,2.5062,60
DKG2,10,5,7.1728,4.5413,2.597,25.014,14.7305,0.0,4.5121,30
DKG2,10,7,8.4176,5.8609,2.583,29.028,14.7305,0.0,6.17,30
DKG2,10,8,9.8243,5.8871,2.503,22.221,14.7305,0.0,7.9146,30
DKG2,20,10,11.826,7.6743,4.352,35.583,14.7305,0.0,10.0312,30
DKG2,20,14,22.7703,16.03,7.347,63.808,14.7305,0.0,13.7438,30
DKG2,20,15,18.3156,15.4495,7.623,78.847,14.7305,0.0,18.6271,30
DKG2,50,25,38.5997,10.6032,24.698,72.913,14.7513,0.0474,23.8329,30
DKG2,50,34,39.3609,8.5671,26.027,63.636,14.9805,0.0,32.8996,30
DKG2,50,38,42.3617,8.902,28.368,68.107,15.374,0.0432,44.0467,30
DKG3,5,3,6.1485,4.3602,2.521,23.669,14.3555,0.0,1.1175,30
DKG3,5,4,7.1823,3.8228,3.578,18.183,14.7305,0.0,2.7594,60
DKG3,10,5,11.9383,6.866,5.978,32.805,14.7305,0.0,4.9229,30
DKG3,10,7,13.9602,7.8803,6.859,38.02,14.7305,0.0,6.6262,30
DKG3,10,8,17.3462,9.4152,6.8,35.313,14.7305,0.0,8.4479,30
DKG3,20,10,24.6195,6.7447,16.934,49.447,14.7305,0.0,10.8213,30
DKG3,20,14,46.0515,10.0407,30.936,69.992,14.7305,0.0,15.2421,30
DKG3,20,15,45.9843,9.7165,32.476,80.164,14.7305,0.0,20.0242,30
DKG3,50,25,119.6509,7.9447,104.453,136.55,14.9805,0.0,27.4125,30
DKG3,50,34,154.5348,11.5563,137.699,197.714,15.0766,0.0596,37.3475,30
DKG3,50,38,169.4022,9.1826,146.616,189.791,15.3906,0.0,48.9571,30
PartialGen,5,3,4.9362,3.5031,0.835,17.233,14.3555,0.0,1.29,30
PartialGen,5,4,7.6617,6.0707,1.86,32.186,14.7305,0.0,3.0321,60
PartialGen,10,5,13.1842,10.3255,2.039,44.77,14.7305,0.0,5.3392,30
PartialGen,10,7,10.1314,8.0475,1.756,26.276,14.7305,0.0,7.0096,30
PartialGen,10,8,11.2818,9.1696,1.523,33.614,14.7305,0.0,8.9358,30
PartialGen,20,10,9.1804,7.0096,1.361,25.04,14.7305,0.0,11.435,30
PartialGen,20,14,16.2559,15.0872,3.29,61.486,14.7305,0.0,16.395,30
PartialGen,20,15,15.7445,12.537,1.736,39.911,14.7305,0.0,21.1388,30
PartialGen,50,25,14.0987,11.6118,2.876,52.946,14.9805,0.0,29.875,30
PartialGen,50,34,12.5788,10.0886,2.916,38.237,15.1836,0.0,40.385,30
PartialGen,50,38,15.6831,13.9611,3.286,55.008,15.3906,0.0,52.2321,30
