function,from_n,to_n,time_from,time_to,growth_factor
DKG1,5,10,1.0710888888888888,1.9197555555555554,1.792340090043362
DKG1,10,20,1.9197555555555554,2.4984333333333333,1.3014330528192248
DKG1,20,50,2.4984333333333333,5.5299,2.2133470308059717
DKG2,5,10,6.2362222222222226,11.74857777777778,1.8839254534440368
DKG2,10,20,11.74857777777778,16.183122222222224,1.3774537248953065
DKG2,20,50,16.183122222222224,39.22264444444444,2.423675969683092
DKG3,5,10,9.711377777777777,23.395199999999996,2.409050552387577
DKG3,10,20,23.395199999999996,39.971199999999996,1.7085214061003968
DKG3,20,50,39.971199999999996,163.8535777777778,4.0992909339168655
PartialGen,5,10,12.068022222222224,13.899088888888887,1.1517288113121726
PartialGen,10,20,13.899088888888887,12.669677777777776,0.9115473596190958
PartialGen,20,50,12.669677777777776,12.345344444444443,0.9744008222606731
PartialVerify,5,10,10.983133333333333,15.309977777777776,1.393953557070336
PartialVerify,10,20,15.309977777777776,13.69041111111111,0.8942149564046106
PartialVerify,20,50,13.69041111111111,14.6904,1.0730430138856313
AggCompute,5,10,18.250344444444444,20.12088888888889,1.1024936515657848
AggCompute,10,20,20.12088888888889,24.787555555555556,1.2319314366495848
AggCompute,20,50,24.787555555555556,44.410466666666665,1.7916436563149967
