,,,,wall_time_ms,wall_time_ms,wall_time_ms,wall_time_ms,peak_rss_mb,peak_rss_mb,energy_estimate_joules,run
,,,,mean,std,min,max,mean,std,mean,count
zkp_type,function,n,t,,,,,,,,
Bulletproof,ProofGen,5,3,16.1083,10.6893,5.611,41.4,15.1758,0.0,63.3921,30
Bulletproof,ProofGen,5,4,11.5659,8.9559,4.278,41.936,15.2344,0.0,64.8646,60
Bulletproof,ProofGen,10,5,15.1178,11.8255,5.69,45.924,15.2344,0.0,66.3271,30
Bulletproof,ProofGen,10,7,13.397,8.5462,5.115,36.902,15.2344,0.0,67.3754,30
Bulletproof,ProofGen,10,8,14.2128,10.8586,4.738,48.612,15.301,0.0634,68.3821,30
Bulletproof,ProofGen,20,10,13.3232,8.4131,5.748,36.524,15.3594,0.0,69.4342,30
Bulletproof,ProofGen,20,14,15.7318,11.9647,4.726,50.651,15.3594,0.0,70.4533,30
Bulletproof,ProofGen,20,15,12.5439,8.3057,4.856,40.781,15.3594,0.0,71.5312,30
Bulletproof,ProofGen,50,25,11.5035,6.4419,4.403,28.16,15.3594,0.0,72.5204,30
Bulletproof,ProofGen,50,34,15.3933,10.3937,4.782,42.575,15.3594,0.0,73.6562,30
Bulletproof,ProofGen,50,38,16.0928,14.5909,5.571,65.79,15.3594,0.0,74.8629,30
Bulletproof,ProofVerify,5,3,12.6544,10.3265,3.798,44.541,15.2324,0.0107,63.89,30
Bulletproof,ProofVerify,5,4,16.2498,12.3394,3.805,48.093,15.2344,0.0,65.3573,60
Bulletproof,ProofVerify,10,5,15.5755,12.7079,3.636,48.317,15.2344,0.0,66.8933,30
Bulletproof,ProofVerify,10,7,12.3659,12.0101,3.3,51.746,15.2344,0.0,67.88,30
Bulletproof,ProofVerify,10,8,16.2386,9.9563,4.173,44.058,15.3594,0.0,68.9042,30
Bulletproof,ProofVerify,20,10,11.0973,8.12,4.362,35.258,15.3594,0.0,69.9554,30
Bulletproof,ProofVerify,20,14,14.0674,11.808,3.863,55.859,15.3594,0.0,71.0538,30
Bulletproof,ProofVerify,20,15,16.5055,15.5249,2.434,65.532,15.3594,0.0,72.0138,30
Bulletproof,ProofVerify,50,25,18.459,15.8498,3.697,69.263,15.3594,0.0,73.0567,30
Bulletproof,ProofVerify,50,34,15.9848,12.1496,5.549,47.138,15.3594,0.0,74.2967,30
Bulletproof,ProofVerify,50,38,16.9291,12.7989,4.759,49.785,15.3594,0.0,75.4554,30
SNARK,ProofGen,5,3,244.2158,31.8594,175.947,310.835,15.3594,0.0,89.7879,30
SNARK,ProofGen,5,4,243.1906,39.3803,146.248,355.249,15.4844,0.0,129.0433,60
SNARK,ProofGen,10,5,242.9606,48.799,167.196,361.887,15.6094,0.0,167.9808,30
SNARK,ProofGen,10,7,239.574,33.5511,180.633,297.071,15.6094,0.0,193.8633,30
SNARK,ProofGen,10,8,266.6718,45.2644,197.103,386.762,15.6427,0.0562,220.5667,30
SNARK,ProofGen,20,10,255.7792,48.7973,177.408,369.327,15.7344,0.0,247.9425,30
SNARK,ProofGen,20,14,296.1681,66.8225,167.228,428.5,15.8385,0.0474,279.3046,30
SNARK,ProofGen,20,15,261.6386,79.55,164.603,581.091,15.8594,0.0,307.7992,30
SNARK,ProofGen,50,25,252.5379,36.1057,192.22,317.29,15.9844,0.0,334.1671,30
SNARK,ProofGen,50,34,250.5143,31.7558,184.206,325.279,15.9844,0.0,361.2329,30
SNARK,ProofGen,50,38,260.759,56.4112,162.748,417.874,15.9844,0.0,387.9113,30
SNARK,ProofVerify,5,3,42.9365,16.2119,22.165,91.748,15.4135,0.063,101.3642,30
SNARK,ProofVerify,5,4,41.6473,19.2078,13.05,97.155,15.4865,0.0161,140.4977,60
SNARK,ProofVerify,10,5,45.7516,20.736,18.962,98.465,15.6094,0.0,179.355,30
SNARK,ProofVerify,10,7,39.1659,14.8001,14.734,75.749,15.6094,0.0,205.0225,30
SNARK,ProofVerify,10,8,35.2738,12.8105,15.046,66.673,15.7344,0.0,232.9192,30
SNARK,ProofVerify,20,10,50.2123,29.8413,18.276,145.741,15.7344,0.0,260.0154,30
SNARK,ProofVerify,20,14,43.7445,13.8698,19.162,69.716,15.8594,0.0,292.3588,30
SNARK,ProofVerify,20,15,41.4602,16.2098,10.255,83.601,15.9469,0.0583,319.4413,30
SNARK,ProofVerify,50,25,39.0801,12.7088,22.19,70.193,15.9844,0.0,345.8575,30
SNARK,ProofVerify,50,34,36.6932,14.921,18.539,85.578,15.9844,0.0,372.8512,30
SNARK,ProofVerify,50,38,44.0381,17.303,15.321,89.353,15.9844,0.0,399.8958,30
STARK,ProofGen,5,3,132.3612,63.9495,44.984,313.626,16.2344,0.0,413.3796,30
STARK,ProofGen,5,4,149.3853,75.5727,39.816,388.192,16.2344,0.0,449.1998,60
STARK,ProofGen,10,5,142.3576,68.3865,69.037,334.637,16.2773,0.0574,486.8817,30
STARK,ProofGen,10,7,133.9803,96.2922,60.969,577.098,16.3516,0.0,513.175,30
STARK,ProofGen,10,8,143.2473,51.5447,62.546,263.869,16.3516,0.0,534.0342,30
STARK,ProofGen,20,10,157.9084,115.8238,61.229,609.826,16.3516,0.0,564.3433,30
STARK,ProofGen,20,14,154.2695,93.8099,52.973,499.372,16.3516,0.0,595.8883,30
STARK,ProofGen,20,15,121.1504,56.2871,57.754,319.035,16.3516,0.0,621.7675,30
STARK,ProofGen,50,25,140.399,45.8596,63.471,225.958,16.3516,0.0,644.3221,30
STARK,ProofGen,50,34,134.781,47.257,50.394,260.857,16.3516,0.0,668.7354,30
STARK,ProofGen,50,38,146.2106,73.0653,44.294,343.869,16.3516,0.0,694.9542,30
STARK,ProofVerify,5,3,10.627,10.9128,2.335,40.78,16.2344,0.0,423.7362,30
STARK,ProofVerify,5,4,12.8942,10.5336,2.691,44.506,16.2344,0.0,460.3994,60
STARK,ProofVerify,10,5,14.447,13.0393,3.953,54.949,16.3516,0.0,497.9117,30
STARK,ProofVerify,10,7,14.8305,12.8552,2.053,49.582,16.3516,0.0,520.8612,30
STARK,ProofVerify,10,8,9.3262,8.1435,2.838,42.9,16.3516,0.0,543.8233,30
STARK,ProofVerify,20,10,9.6816,7.8302,2.885,35.553,16.3516,0.0,576.935,30
STARK,ProofVerify,20,14,10.3728,7.2571,2.809,32.46,16.3516,0.0,609.8379,30
STARK,ProofVerify,20,15,8.2034,5.4023,2.688,22.197,16.3516,0.0,631.3762,30
STARK,ProofVerify,50,25,12.0136,10.3794,3.195,41.214,16.3516,0.0,655.0767,30
STARK,ProofVerify,50,34,16.3335,12.3219,3.403,42.231,16.3516,0.0,678.7121,30
STARK,ProofVerify,50,38,9.5767,7.5045,3.291,33.38,16.3516,0.0,706.1425,30
